word_uk,value,len,word_en
оно,707,3,it
далеко,704,6,far
робота,697,6,work
усіх,695,4,all
будете,694,6,will be
важко,686,5,hard
машина,686,6,machine
легко,680,5,light
очі,678,3,eyes
ко,676,2,who
кожен,676,5,each
хоча,676,4,although
спасибі,675,7,Thanks
щойно,671,5,just
собою,669,5,by yourself
курва,668,5,whore
діти,665,4,children
доведеться,660,10,will have to
погано,660,6,badly
рада,659,4,council
готовий,657,7,finished
ах,656,2,Ah
перший,656,6,first
вбити,654,5,to kill
радий,647,5,glad
ніч,646,3,night
момент,644,6,moment
серйозно,644,8,seriously
напевно,643,7,definitely
заради,636,6,for
честь,634,5,honor
телефон,631,7,phone
вдома,630,5,home
будинок,628,7,house
король,626,6,king
круто,623,5,steeply
старий,609,6,old
когось,608,6,someone
тихо,608,4,quietly
взяти,605,5,take
новий,602,5,new
побачення,602,9,date
джек,596,4,jack
сестра,592,6,sister
містер,591,6,Mr.
слід,591,4,trace
стати,591,5,become
якось,586,5,somehow
прекрасно,585,9,wonderful
рік,582,3,year
всім,580,4,to everyone
наче,578,4,as if
кінець,576,6,end
працювати,571,9,work
річ,571,3,thing
дитина,570,6,baby
нарешті,567,7,finally
двох,565,4,two
мам,565,3,mom
якийсь,563,6,some
здорово,561,7,Wow
надто,561,5,too
мир,554,3,peace
агов,553,4,hey
чотири,552,6,four
звати,551,5,call
більш,550,5,more
зрозуміло,548,9,of course
маленький,547,9,small
місто,547,5,city
лайно,546,5,shit
часто,544,5,often
впевнений,543,9,assured
стільки,541,7,so much
друже,539,5,friend
дати,536,4,dates
ідея,536,4,idea
людям,535,5,to people
інакше,533,6,otherwise
пан,531,3,Mr.
дружина,528,7,wife
кров,524,4,blood
вірно,523,5,TRUE
десять,522,6,ten
важно,515,5,important
гарно,513,5,good
серце,511,5,heart
нікого,508,6,nobody
рад,508,3,council
хочуть,508,6,want
цікаво,506,6,interesting
вчора,505,5,yesterday
став,502,4,pond
друзі,500,5,friends
спати,500,5,sleep
парня,499,5,guy
рано,499,4,early
повернутися,498,11,return
мило,495,4,soap
інше,491,4,other
вина,490,4,fault
інший,487,5,another
ого,485,3,Oho
само,484,4,itself
часом,479,5,sometimes
приємно,478,7,pleasantly
доки,476,4,until
дівчина,474,7,girl
вниз,472,4,down
спочатку,470,8,first
дім,469,3,house
стало,465,5,became
дивно,462,5,amazingly
пізніше,460,7,later
причина,460,7,reason
стала,460,5,became
стать,460,5,sex
сон,458,3,sleep
спокійно,458,8,quietly
адже,457,4,because
годі,457,4,no way
другом,456,6,friend
вогонь,455,6,fire
алан,454,4,Alan
близько,454,7,close
право,454,5,right
га,453,2,Ha
отримати,452,8,get
гарний,450,6,good
живе,450,4,lives
прийти,450,6,to come
хм,450,2,hmm
голос,447,5,voice
вода,443,4,water
іноді,443,5,sometimes
крім,443,4,except
весело,442,6,fun
останній,438,8,last
шлях,438,4,way
власне,436,6,actually
лиш,436,3,only
невже,435,5,really
голова,432,6,head
здоров,432,6,healthy
народ,431,5,people
таки,430,4,still
оце,429,3,this
страшно,428,7,terrible
ха,427,2,ha
важливо,426,7,importantly
обличчя,426,7,face
аж,425,2,until
обережно,412,8,carefully
їсти,411,4,eat
нікому,411,6,to no one
очевидно,410,8,obviously
тиждень,409,7,week
поліція,405,7,police
фото,404,4,photo
хочемо,404,6,we want
мертвий,403,7,dead
ух,400,2,uh
вечір,398,5,evening
пес,398,3,dog
панове,391,6,gentlemen
слава,389,5,glory
грати,388,5,play
живий,386,5,live
навколо,386,7,around
пізно,384,5,late
повідомлення,384,12,message
місіс,380,5,Mrs.
крови,379,5,blood
ок,378,2,ok
рішення,376,7,decision
світло,376,6,light
стоп,376,4,stop
вранці,375,6,in the morning
зрозуміти,375,9,understand
людьми,375,6,by people
пройти,375,6,pass
допомога,374,8,help
їхати,374,5,go
мужик,374,5,peasant
поруч,372,5,near
забрати,370,7,take
приятель,370,8,friend
коли-небудь,369,11,ever
любий,369,5,dear
неможливо,369,9,impossible
майбутнє,368,8,future
народження,368,10,birth
усім,368,4,to everyone
єдиний,366,6,only
чекати,366,6,wait
історія,365,7,history
матері,365,6,mothers
шоу,365,3,show
добраніч,363,8,Good night
відразу,362,7,at once
перш,362,4,first
двоє,361,4,two
могло,361,5,could
пити,361,4,drink
команда,359,7,team
любов,359,5,love
ані,357,3,nor
муж,357,3,man
набагато,357,8,lot
повернути,357,9,return
місяць,355,6,month
настільки,355,9,so
детектив,353,8,detective
ключ,351,4,key
матір,351,5,mother
хлопчик,350,7,boy
фільм,349,5,film
правий,348,6,right
значення,347,8,value
повірити,347,8,believe
тіло,347,4,body
залишити,346,8,keep
менше,346,5,Less
випадок,344,7,case
жив,344,3,lived
кохання,344,7,love
сто,344,3,hundred
врятувати,341,9,save
що-небудь,341,9,anything
міс,339,3,miss
наприклад,339,9,for example
капітан,337,7,captain
шість,336,5,six
відповідь,335,9,respond
вперше,335,6,for the first time
лікар,334,5,doctor
наскільки,331,9,as far as
частина,329,7,part
секс,328,4,sex
смішно,328,6,ridiculously
видно,327,5,visible
думати,327,6,think
год,326,3,hour
показати,323,8,show
будьте,322,6,be
вийти,322,5,go out
земля,322,5,Earth
друзів,321,6,friends
ньому,321,5,him
зупинити,320,8,stop
купити,320,6,buy
провести,320,8,to spend
серед,320,5,among
чудовий,320,7,excellent
всередині,319,9,within
корабель,319,8,ship
спосіб,319,6,way
агент,317,5,agent
вночі,317,5,at night
людини,317,6,human
молодець,317,8,Well done
розповісти,317,10,to tell
принаймні,316,9,at least
неймовірно,315,10,incredibly
раптом,315,6,suddenly
постійно,314,8,constantly
пара,313,4,couple
список,313,6,list
суд,312,3,court
недавно,311,7,recently
щастя,311,5,happiness
війна,310,5,war
переклад,310,8,translation
смог,310,4,smog
цілком,309,6,quite
вести,307,5,lead
непогано,302,8,not bad
спробувати,302,10,try
сигнал,301,6,signal
сила,300,4,power
спершу,299,6,at first
город,298,5,backyard
батьки,296,6,parents
другий,296,6,second
окей,296,4,okay
повністю,296,8,fully
волосся,295,7,hair
сезон,294,5,season
казати,292,6,say
місяців,291,7,months
супер,291,5,super
дивитися,290,8,watch
замість,290,7,instead
брати,288,5,take
звідти,288,6,from there
мадам,288,5,madam
член,288,4,member
адвокат,287,7,lawyer
внизу,287,5,below
гірше,287,5,worse
цілий,287,5,whole
померти,286,7,die
чисто,286,5,purely
вибір,285,5,choice
ем,285,2,em
чути,285,4,hear
змінити,284,7,change
мужчина,284,7,man
хлопців,284,7,boys
добро,283,5,good
зайти,283,5,enter
справжній,282,9,real
нікуди,281,6,nowhere
президент,281,9,president
дал,279,3,gave
подарунок,279,9,gift
тримати,279,7,keep
принести,278,8,bring
подивитися,277,10,look
вид,276,3,view
дівчата,275,7,girls
почуття,275,7,feeling
спасти,275,6,to save
ввечері,272,7,in the evening
готово,272,6,ready
сюрприз,272,7,surprise
страх,271,5,fear
винен,270,5,guilty
всьому,270,6,to everything
завгодно,270,8,whatever
звук,269,4,sound
наступний,269,9,following
трьох,269,5,three
удар,269,4,shock
якраз,269,5,just
зустріч,268,7,meeting
чогось,268,6,something
дізнатися,267,9,to find out
поле,267,4,field
магазин,266,7,shop
чан,266,3,vat
шо,266,2,what
штука,266,5,thing
завдання,265,8,task
рахунок,265,7,score
шукати,265,6,search
дівчинка,264,8,girl
зрештою,264,7,eventually
рука,264,4,hand
чай,264,3,tea
боляче,263,6,it hurts
почати,263,6,begin
відмінно,262,8,perfectly
другу,262,5,second
леді,261,4,lady
трудно,261,6,difficult
авто,259,4,auto
гра,259,3,game
відомо,258,6,known
сука,258,4,bitch
подруга,257,7,girlfriend
вистачить,256,9,enough
авжеж,255,5,of course
бен,255,3,bin
знак,255,4,sign
поїхати,255,7,go
роль,255,4,role
декілька,254,8,few
протягом,254,8,for
ній,253,3,her
обох,253,4,both
пістолет,253,8,pistol
залишитися,252,10,stay
ніщо,250,4,nothing
проте,250,5,but
нове,249,4,new
запах,248,5,scent
королева,247,8,queen
рот,247,3,mouth
дорога,246,6,road
мить,245,4,moment
холодно,245,7,coldly
відчуття,244,8,feeling
мм,244,2,mm
ніяк,244,4,any
вихід,243,5,Entrance
обидва,243,6,both
повітря,243,7,air
пощастило,242,9,lucky
путь,242,4,way
крізь,241,5,through
весілля,240,7,wedding
книга,240,5,book
запитати,239,8,to ask
найкращий,239,9,best
одразу,238,6,immediately
лорд,237,4,lord
малий,237,5,small
клас,236,4,class
легше,236,5,easier
можливість,235,10,possibility
хто-небудь,235,10,someone
вбивство,234,8,murder
завдяки,234,7,thanks to
порядок,233,7,order
ходити,233,6,walk
байдуже,232,7,indifferently
битися,232,6,fight
випити,232,6,to drink
оскільки,232,8,because
пиво,231,4,beer
дядько,230,6,uncle
костюм,230,6,suit
крок,230,4,step
повинно,230,7,must
взагалі-то,229,10,actually
пояснити,229,8,explain
сонце,229,5,sun
увага,229,5,WARNING
вино,228,4,wine
наказ,228,5,order
довелося,227,8,had to
дон,227,3,Don
закон,227,5,law
спокій,227,6,rest
старший,227,7,senior
увесь,226,5,all
факт,226,4,fact
двадцять,225,8,twenty
дядя,225,4,uncle
зазвичай,224,8,usually
отець,224,5,father
сидіти,224,6,sit
гм,223,2,Ahem
господа,223,7,gentlemen
музика,223,6,music
схожий,223,6,similar
угу,223,3,ugh
віддати,222,7,pay
почути,221,6,hear
дідько,220,6,devil
назавжди,220,8,forever
чимось,220,6,something
повний,219,6,full
автобус,218,7,bus
бажання,218,7,desire
знищити,218,7,destroy
зброя,217,5,weapon
хочеться,217,8,I want
жарт,216,4,joke
піп,216,3,pip
центр,216,5,center
літак,215,5,plane
вигляд,214,6,appearance
згоден,214,6,agree
неправда,214,8,falsehood
туалет,214,6,toilet
головний,213,8,main
господь,213,7,Lord
комусь,213,6,to someone
подумати,213,8,think
поза,213,4,outside
море,212,4,sea
окрім,212,5,except
найкраще,211,8,best
стояти,211,6,stand
директор,209,8,director
кіно,209,4,movie
перше,208,5,first
система,208,7,system
урок,208,4,lesson
батьків,207,7,parents
золото,207,6,gold
хутко,207,5,quick
острів,206,6,island
чоловіків,206,9,men
вісім,204,5,eight
головне,204,7,the main thing
доступ,204,6,access
зустрітися,204,10,to meet
милий,204,5,nice
картер,203,6,casing
код,203,3,code
перевірити,203,10,verify
камінь,202,6,stone
нащо,202,4,why
прокляття,202,9,curse
клуб,201,4,club
небезпечно,201,10,dangerously
ура,201,3,Hooray
щодня,201,5,daily
вибачення,200,9,apology
вікно,200,5,window
тип,200,3,type
ян,200,2,Jan
кімната,198,7,room
плюс,198,4,plus
рота,198,4,mouth
придурок,197,8,idiot
прийняти,197,8,accept
думка,196,5,opinion
уявити,196,6,imagine
обід,195,4,dinner
втекти,194,6,to escape
стріляти,194,8,shoot
захистити,193,9,to protect
ліжко,193,5,bed
усього,193,6,total
ворота,192,6,goal
дочка,192,5,daughter
забагато,192,8,too much
ммм,192,3,mmm
потрапити,192,9,to get in
більшість,191,9,majority
востаннє,191,8,last
кращий,191,6,better
одяг,191,4,clothing
собака,191,6,dog
герой,190,5,hero
замок,190,5,lock
слухати,190,7,listen
трішки,190,6,a little
вірити,189,6,believe
солдат,189,6,soldier
щасливий,189,8,happy
доля,188,4,fate
певно,188,5,probably
сучий,188,5,bitchy
кудись,187,6,somewhere
дозволити,186,9,allow
участь,186,6,participation
біль,185,4,pain
ник,185,3,nickname
подалі,184,6,away
помилка,184,7,error
вгору,183,5,above
всередину,183,9,within
дівчат,183,6,girls
потрібне,183,8,necessary
дерево,182,6,tree
півночі,182,7,midnight
готель,181,6,hotel
зад,181,3,ass
мова,181,4,language
правило,181,7,rule
сан,181,3,dignity
вбивати,180,7,to kill
привести,180,8,to bring
різниця,180,7,difference
болить,179,6,hurts
получилось,179,10,it worked out
ресторан,179,8,restaurant
секрет,179,6,secret
жертва,178,6,victim
мак,178,3,poppy
гу,177,2,gu
друзями,177,7,friends
минуле,177,6,past
мозок,177,5,brain
поряд,177,5,near
проект,177,6,project
читати,177,6,read
бій,176,3,fight
дух,176,3,spirit
небо,176,4,sky
познайомитися,174,13,to get acquainted
ситуація,174,8,situation
відкрити,173,8,open
ідіот,173,5,idiot
лист,173,4,letter
решта,173,5,rest
шериф,173,5,sheriff
година,172,6,hour
дзвінок,172,7,call
душ,172,3,shower
люк,172,3,hatch
подорож,172,7,travel
розум,172,5,mind
стіл,172,4,table
бік,171,3,side
запитання,171,9,question
божевільний,170,11,crazy
меч,170,3,sword
подзвонити,170,10,to call
позаду,170,6,behind
бар,169,3,bar
добридень,169,9,Good afternoon
забути,169,6,forget
обоє,169,4,both
писати,169,6,write
письмо,169,6,writing
розмовляти,169,10,talk
третій,169,6,third
труп,169,4,corpse
хотілося,169,8,wanted
гарне,168,5,good
донька,168,6,daughter
знов,168,4,again
контроль,168,8,CONTROL
сержант,168,7,sergeant
багатьох,167,8,many
вау,167,3,wow
око,167,3,eye
ану,166,3,anu
груди,165,5,breast
ліки,165,4,medicine
брак,164,4,marriage
вбивця,164,6,murderer
кимось,164,6,by someone
потрібний,164,9,necessary
радіо,164,5,radio
група,163,5,group
дістати,163,7,to get
пісня,163,5,song
поганий,163,7,bad
убити,163,5,kill
школа,163,5,school
дитя,162,4,child
лишень,162,6,only
написати,162,8,write
перстень,162,8,ring
святий,162,6,holy
всюди,161,5,throughout
заплатити,161,9,pay
тест,161,4,test
дурень,160,6,fool
чек,160,3,check
дехто,159,5,some
зло,159,3,evil
іще,159,3,still
незабаром,159,9,soon
черга,159,5,turn
брехня,158,6,lie
дитини,158,6,child
довіряти,158,8,trust
роман,158,5,novel
спитати,158,7,ask
продати,157,7,sell
рухатися,157,8,move
шеф,157,3,chief
йо,156,2,yo
принц,156,5,prince
армія,155,5,army
вітання,155,7,greeting
кларк,155,5,Clark
молодий,155,7,young
наверх,155,6,upstairs
повернення,155,10,return
хворий,155,6,patient
відео,154,5,video
найбільше,154,9,most
бізнес,153,6,business
коло,153,4,circle
купа,153,4,pile
останнє,153,7,last
попереду,153,8,ahead
всесвіт,152,7,universe
жену,152,4,wife
чорний,152,6,black
двічі,151,5,twice
жила,151,4,vein
скоріше,151,7,rather
вище,150,4,above
дощ,150,3,rain
захист,150,6,protection
нелегко,150,7,not easy
прізвище,150,8,name
звільнити,149,9,to release
зразок,149,6,sample
вечірка,148,7,party
половина,148,8,half
помре,148,5,will die
рівень,148,6,level
боротися,147,8,fight
початок,147,7,beginning
скрізь,147,6,everywhere
душа,146,4,soul
курс,146,4,course
майя,146,4,Maya
найбільш,146,8,most
північ,146,6,North
сенс,146,4,sense
бекет,145,5,becket
бляха,145,5,badge
бос,145,3,boss
залишатися,145,10,remain
зняти,145,5,withdraw
повно,145,5,full
професор,145,8,professor
вверх,144,5,up
використовувати,144,15,use
ймовірно,144,8,probably
дар,143,3,gift
рак,143,3,cancer
статус,143,6,status
відколи,142,7,since
ворог,142,5,enemy
док,142,3,dock
закінчити,142,9,finish
мов,142,3,as
нуль,142,4,zero
шаг,142,3,step
банк,141,4,bank
генерал,141,7,general
зайнятий,141,8,busy
інколи,141,6,sometimes
мер,141,3,mayor
мільйон,141,7,million
зовні,140,5,outside
продовжувати,140,12,continue
штани,140,5,trousers
довести,139,7,prove
жоден,139,5,none
невдовзі,139,8,shortly
уперед,139,6,ahead
будь-який,138,9,any
відділ,138,6,department
горло,138,5,throat
напад,138,5,attack
ніс,138,3,nose
однак,138,5,however
платити,138,7,pay
сісти,138,5,sit down
ув,138,2,in
упевнений,138,9,confident
хан,138,3,khan
амінь,137,5,amen
передати,137,8,pass
самий,137,5,very
тихіше,137,6,Hush
бабуся,136,6,grandmother
важливе,136,7,important
все-таки,136,8,after all
захід,136,5,West
їжа,136,3,food
кинути,136,6,to throw
небагато,136,8,little
поставити,136,9,put
вільний,135,7,free
голодний,135,8,hungry
дурний,135,6,stupid
компанія,135,8,company
називати,135,8,call
необхідно,135,9,necessary
пекло,135,5,hell
шлюб,135,4,marriage
вистачає,134,8,enough
камера,134,6,cell
кріс,134,4,Chris
таксі,134,5,Taxi
еге,133,3,yeah
щиро,133,4,sincerely
кінь,132,4,horse
мем,132,3,meme
пак,132,3,pack
помру,132,5,I will die.
провина,132,7,fault
раза,132,4,times
троє,132,4,three
дорогий,131,7,dear
кохана,131,6,beloved
суть,131,4,essence
уряд,131,4,government
шум,131,3,noise
дістатися,130,9,to get there
діяти,130,5,act
їхній,130,5,their
лейтенант,130,9,lieutenant
милость,130,7,mercy
начальник,130,9,head
ніде,130,4,nowhere
тридцять,130,8,thirty
бігти,129,5,run
білий,129,5,white
задоволення,129,11,pleasure
керувати,129,8,manage
контракт,129,8,contract
купол,129,5,dome
па,129,2,pas
стан,129,4,state
суп,129,3,soup
учитель,129,7,teacher
майор,128,5,major
очах,128,4,eyes
повільно,128,8,slow
створити,128,8,create
човен,128,5,boat
щасти,128,5,luck
божевілля,127,9,madness
видимо,127,6,visibly
вирішити,127,8,solve
ігри,127,4,games
нога,127,4,leg
дітьми,126,6,children
куча,126,4,heap
надія,126,5,hope
обережніше,126,10,Go easy
плач,126,4,weep
режисер,126,7,director
шматок,126,6,piece
борт,125,4,board
відповісти,125,10,answer
захищати,125,8,protect
очей,125,4,eye
пацан,125,5,boy
прям,125,4,straight
телевізор,125,9,TV
квартира,124,8,apartment
концерт,124,7,concert
ранок,124,5,morning
суддя,124,5,judge
використати,123,11,use
змусити,123,7,to force
іти,123,3,go
неначе,123,6,as though
повідомити,123,10,to inform
припинити,123,9,to stop
розмова,123,7,conversation
рух,123,3,movement
ху,123,2,hu
виродок,122,7,monster
вітер,122,5,wind
жах,122,3,horror
ледь,122,4,hardly
смак,122,4,taste
відповідальність,121,16,responsibility
діло,121,4,work
друге,121,5,second
кількість,121,9,number
повертатися,121,11,turn
четверо,121,7,four
дослідження,120,11,research
дурня,120,5,fool
обговорити,120,10,to discuss
результат,120,9,result
усіма,120,5,everyone
ай,119,2,Ai
ван,119,3,van
глибоко,119,7,deep
едем,119,4,Eden
кафе,119,4,cafe
напевне,119,7,probably
погляд,119,6,view
праворуч,119,8,right
прекрасний,119,10,beautiful
малюк,118,5,baby
поняття,118,7,concept
розумний,118,8,reasonable
соромно,118,7,shamefully
менеджер,117,8,manager
прокурор,117,8,public prosecutor
сміх,117,4,laughter
статися,117,7,happen
боятися,116,7,fear
брехати,116,7,lie
колір,116,5,color
мсьє,116,4,Monsieur
отак,116,4,like that
бігом,115,5,running
вижити,115,6,survive
квіти,115,5,flowers
навряд,115,6,hardly
нічим,115,5,nothing
перемогти,115,9,to win
попросити,115,9,ask
сир,115,3,cheese
червоний,115,8,red
влада,114,5,power
годинник,114,8,clock
край,114,4,land
молоко,114,6,milk
покласти,114,8,put
газ,113,3,gas
завести,113,7,to start
контакт,113,7,contact
мета,113,4,goal
очима,113,5,with eyes
починати,113,8,start
розслідування,113,13,investigation
аніж,112,4,than
колишній,112,8,former
ліпше,112,5,better
назвати,112,7,to name
сніданок,112,8,breakfast
сходи,112,5,stairs
умру,112,4,I will die.
автор,111,5,author
варіант,111,7,version
дах,111,3,roof
доволі,111,6,enough
заміж,111,5,married
користь,111,7,benefit
навчання,111,8,teaching
парк,111,4,park
поїзд,111,5,train
пропозиція,111,10,offer
сміття,111,6,waste
сорок,111,5,forty
бити,110,4,beat
вибух,110,5,explosion
займатися,110,9,engage in
запропонувати,110,13,offer
ледве,110,5,barely
модель,110,6,model
покарання,110,9,punishment
безумовно,109,9,certainly
вдячний,109,7,grateful
вряд,109,4,hardly
гри,109,3,games
дані,109,4,data
інформація,109,10,information
козел,109,5,goat
ліс,109,3,forest
недалеко,109,8,near
нудно,109,5,boring
псих,109,4,psycho
трон,109,4,throne
важкий,108,6,heavy
втратити,108,8,to lose
ліворуч,108,7,left
навпаки,108,7,vice versa
немов,108,5,like
новина,108,6,news
офіс,108,4,office
пів,108,3,half
південь,108,7,South
чудо,108,4,miracle
штат,108,4,state
довгий,107,6,long
здоровий,107,8,healthy
мудак,107,5,asshole
одружитися,107,10,get married
отож,107,4,so
пакет,107,5,package
погане,107,6,bad
свідчення,107,9,testimony
сумно,107,5,sadly
шляхом,107,6,by
дружище,106,7,buddy
монстр,106,6,monster
наодинці,106,8,alone
подружка,106,8,girlfriend
стиль,106,5,style
танцювати,106,9,dance
чорні,106,5,black
виправити,105,9,correct
воля,105,4,will
враження,105,8,impression
зірка,105,5,star
нести,105,5,carry
нещасний,105,8,unhappy
покинути,105,8,to leave
по-перше,105,8,firstly
битва,104,5,battle
величність,104,10,majesty
врешті,104,6,finally
всіма,104,5,everyone
губернатор,104,10,governor
диво,104,4,miracle
зберегти,104,8,save
зверху,104,6,from above
нагорі,104,6,above
підняти,104,7,to raise
поїсти,104,6,eat
свобода,104,7,freedom
честер,104,6,Chester
біс,103,3,Bis
двома,103,5,two
дозвіл,103,6,permission
е-е,103,3,uh-uh
контролювати,103,12,control
майка,103,5,T-shirt
особливий,103,9,special
партнер,103,7,partner
прибрати,103,8,to remove
татко,103,5,dad
хмм,103,3,hmm
викликати,102,9,cause
недостатньо,102,11,not enough
